,Date,Account,Debit,Credit,Type
375,6/19/2022,CC  BofA,17.45,,Transportation
376,6/19/2022,CC  BofA,56.24,,Gas & Fuel
377,6/21/2022,CHK,,20.00,Entertainment
378,6/21/2022,CC  BofA,20.78,,Entertainment
379,6/22/2022,CC  BofA,28.89,,Pet
380,6/23/2022,CC  BofA,13.98,,Entertainment
381,6/23/2022,CC  BofA,40.00,,Transportation
382,6/24/2022,CHK,,75.00,Entertainment
383,6/24/2022,CC  BofA,36.66,,Shopping
384,6/24/2022,CC  BofA,35.00,,Medical
385,6/25/2022,CC  BofA,27.32,,Entertainment
386,6/26/2022,CC  BofA,75.02,,Hobby
387,6/26/2022,CC  BofA,49.89,,Food
388,6/26/2022,CC  BofA,24.32,,Entertainment
389,6/27/2022,CHK,50.00,,Gift
390,6/27/2022,CC  BofA,356.60,,Hobby
391,6/27/2022,CC  BofA,21.34,,Hobby
392,6/28/2022,CC  BofA,97.63,,Shopping
393,6/28/2022,CC  BofA,13.72,,Personal
394,6/29/2022,CHK,1760.47,,Rent
395,6/30/2022,CHK,15.00,,Entertainment
396,6/30/2022,CC  BofA,15.72,,Transportation
397,6/30/2022,CC  BofA,30.00,,Transportation
398,7/1/2022,CHK,35.00,,Entertainment
399,7/2/2022,CC  BofA,223.48,,Utility
400,7/3/2022,CC  BofA,10.38,,Transportation
401,7/3/2022,CC  BofA,51.74,,Entertainment
402,7/3/2022,CC  BofA,10.00,,Transportation
403,7/3/2022,CC  BofA,5.00,,Entertainment
404,7/4/2022,CC  BofA,8.93,,Transportation
405,7/4/2022,CC  BofA,160.28,,Pet
406,7/5/2022,CHK,,4500.00,Transfer
407,7/5/2022,CHK,,30.00,Entertainment
408,7/5/2022,CC  BofA,93.10,,Shopping
409,7/5/2022,CC  BofA,18.60,,Food
410,7/6/2022,CHK,45.08,,Utility
411,7/6/2022,CC  BofA,22.30,,Food
412,7/7/2022,CC  BofA,,1.04,Rewards
413,7/7/2022,CC  BofA,35.00,,Medical
414,7/8/2022,CC  BofA,93.25,,Shopping
415,7/8/2022,CC  BofA,52.94,,Gas & Fuel
416,7/11/2022,CC  BofA,10.04,,Food
417,7/12/2022,CC  BofA,14.22,,Food
418,7/13/2022,CC  BofA,23.14,,Shopping
419,7/13/2022,CC  BofA,62.04,,Household
420,7/13/2022,CC  BofA,26.82,,Entertainment
421,7/13/2022,CC  BofA,12.45,,Entertainment
422,7/14/2022,CC  BofA,13.37,,Entertainment
423,7/15/2022,CC  BofA,10.69,,Personal
424,7/15/2022,CC  BofA,14.75,,Shopping
425,7/15/2022,CC  BofA,53.02,,Shopping
426,7/15/2022,CC  BofA,24.00,,Entertainment
427,7/16/2022,CC  BofA,11.66,,Entertainment
428,7/16/2022,CC  BofA,54.06,,Personal
429,7/16/2022,CC  BofA,60.00,,Personal
430,7/17/2022,CC  BofA,37.44,,Personal
431,7/17/2022,CC  BofA,26.74,,Personal
432,7/17/2022,CC  BofA,10.69,,Personal
433,7/17/2022,CC  BofA,17.15,,Entertainment
434,7/18/2022,CC  BofA,44.37,,Entertainment
435,7/19/2022,CC  BofA,25.24,,Entertainment
436,7/19/2022,CC  BofA,10.80,,Entertainment
