Date,Account,Debit,Credit,Category,Month,Year
2021-07-09,CC - BofA,58.65,0.0,Pet,7,2021
2021-07-12,CHK,0.0,47.0,Entertainment,7,2021
2021-07-12,CHK,45.0,0.0,Entertainment,7,2021
2021-07-12,CHK,50.0,0.0,Gift,7,2021
2021-07-12,CC - BofA,34.52,0.0,Entertainment,7,2021
2021-07-14,CHK,20.0,0.0,Gift,7,2021
2021-07-19,CC - BofA,19.82,0.0,Travel,7,2021
2021-07-19,CC - BofA,356.3,0.0,Travel,7,2021
2021-07-19,CC - BofA,9.54,0.0,Entertainment,7,2021
2021-07-19,CC - BofA,10.69,0.0,Hobby,7,2021
2021-07-19,CC - BofA,10.69,0.0,Hobby,7,2021
2021-07-19,CC - BofA,5.34,0.0,Hobby,7,2021
2021-07-19,CC - BofA,18.94,0.0,Transportation,7,2021
2021-07-23,CC - BofA,335.3,0.0,Travel,7,2021
2021-07-23,CC - BofA,51.13,0.0,Entertainment,7,2021
2021-07-23,CC - BofA,22.46,0.0,Entertainment,7,2021
2021-07-24,CC - BofA,26.31,0.0,Transportation,7,2021
2021-07-26,CHK,90.0,0.0,Entertainment,7,2021
2021-07-26,CHK,6.0,0.0,Shopping,7,2021
2021-07-26,CC - BofA,39.0,0.0,Gas & Fuel,7,2021
2021-07-26,CC - BofA,71.04,0.0,Food,7,2021
2021-07-27,CHK,104.56,0.0,Utility,7,2021
2021-07-27,CC - BofA,58.65,0.0,Pet,7,2021
2021-07-28,CC - BofA,0.0,34.32,Rewards,7,2021
2021-07-29,CC - BofA,10.69,0.0,Hobby,7,2021
2021-07-30,CHK,0.0,521.88,Rent,7,2021
2021-08-02,CHK,1085.55,0.0,Rent,8,2021
2021-08-02,CC - BofA,201.08,0.0,Insurance,8,2021
2021-08-02,CC - BofA,195.0,0.0,Medical,8,2021
2021-08-03,CC - BofA,49.95,0.0,Insurance,8,2021
2021-08-03,CC - BofA,16.08,0.0,Hobby,8,2021
2021-08-03,CC - BofA,9.75,0.0,Transportation,8,2021
2021-08-06,CHK,20.0,0.0,Gift,8,2021
2021-08-06,CHK,0.0,39.67,Utility,8,2021
2021-08-06,CHK,0.0,24.78,Utility,8,2021
2021-08-06,CHK,0.0,21.88,Utility,8,2021
2021-08-06,CHK,0.0,20.98,Utility,8,2021
2021-08-06,CHK,0.0,20.9,Utility,8,2021
2021-08-06,CHK,0.0,20.65,Utility,8,2021
2021-08-06,CHK,0.0,19.54,Utility,8,2021
2021-08-06,CC - BofA,21.6,0.0,Entertainment,8,2021
2021-08-09,CHK,222.28,0.0,Entertainment,8,2021
2021-08-09,CC - BofA,21.49,0.0,Transportation,8,2021
2021-08-09,CC - BofA,22.94,0.0,Transportation,8,2021
2021-08-10,CHK,132.79,0.0,Utility,8,2021
2021-08-12,CC - BofA,14.23,0.0,Entertainment,8,2021
2021-08-12,CC - BofA,10.69,0.0,Hobby,8,2021
2021-08-12,CC - BofA,19.1,0.0,Entertainment,8,2021
2021-08-13,CHK,0.0,45.0,Entertainment,8,2021
2021-08-13,CC - BofA,119.52,0.0,Gift,8,2021
2021-08-14,CC - BofA,69.0,0.0,Self Care,8,2021
2021-08-16,CHK,0.0,15.0,Entertainment,8,2021
2021-08-16,CHK,0.0,65.0,Miscellaneous,8,2021
2021-08-16,CC - BofA,12.26,0.0,Entertainment,8,2021
2021-08-16,CC - BofA,43.97,0.0,Travel,8,2021
2021-08-16,CC - BofA,1.06,0.0,Hobby,8,2021
2021-08-16,CC - BofA,33.45,0.0,Entertainment,8,2021
2021-08-16,CC - BofA,10.72,0.0,Entertainment,8,2021
2021-08-17,CC - BofA,10.5,0.0,Entertainment,8,2021
2021-08-17,CC - BofA,55.0,0.0,Miscellaneous,8,2021
2021-08-18,CC - BofA,0.0,335.3,Travel,8,2021
2021-08-18,CC - BofA,163.3,0.0,Self Care,8,2021
2021-08-18,CC - BofA,82.72,0.0,Shopping,8,2021
2021-08-19,CHK,42.0,0.0,Entertainment,8,2021
2021-08-19,CC - BofA,0.0,50.4,Shopping,8,2021
2021-08-19,CC - BofA,50.4,0.0,Shopping,8,2021
2021-08-19,CC - BofA,58.44,0.0,Pet,8,2021
2021-08-20,CC - BofA,196.0,0.0,Clothing,8,2021
2021-08-20,CC - BofA,14.0,0.0,Entertainment,8,2021
2021-08-20,CC - BofA,13.0,0.0,Entertainment,8,2021
2021-08-20,CC - BofA,65.0,0.0,Self Care,8,2021
2021-08-20,CC - BofA,4.28,0.0,Entertainment,8,2021
2021-08-20,CC - BofA,43.45,0.0,Shopping,8,2021
2021-08-21,CC - BofA,30.0,0.0,Travel,8,2021
2021-08-23,CHK,0.0,10.0,Entertainment,8,2021
2021-08-23,CHK,101.0,0.0,Entertainment,8,2021
2021-08-23,CHK,500.0,0.0,Savings,8,2021
2021-08-23,CC - BofA,30.0,0.0,Travel,8,2021
2021-08-23,CC - BofA,10.69,0.0,Hobby,8,2021
2021-08-23,CC - BofA,10.69,0.0,Hobby,8,2021
2021-08-23,CC - BofA,10.55,0.0,Shopping,8,2021
2021-08-23,CC - CareCred,191.21,0.0,Pet,8,2021
2021-08-24,CHK,41.0,0.0,Entertainment,8,2021
2021-08-24,CHK,134.34,0.0,Utility,8,2021
2021-08-24,CC - BofA,23.52,0.0,Shopping,8,2021
2021-08-24,CC - BofA,0.0,0.54,Rewards,8,2021
2021-08-24,CC - BofA,48.54,0.0,Shopping,8,2021
2021-08-26,CC - BofA,112.09,0.0,Shopping,8,2021
2021-08-27,CC - BofA,32.71,0.0,Entertainment,8,2021
2021-08-30,CHK,100.0,0.0,Entertainment,8,2021
2021-08-30,CC - BofA,95.5,0.0,Travel,8,2021
2021-08-30,CC - BofA,13.05,0.0,Entertainment,8,2021
2021-08-30,CC - BofA,21.39,0.0,Hobby,8,2021
2021-08-30,CC - BofA,36.97,0.0,Food,8,2021
2021-09-01,CC - BofA,52.84,0.0,Entertainment,9,2021
2021-09-01,CC - BofA,35.67,0.0,Food,9,2021
2021-09-01,CC - BofA,21.76,0.0,Shopping,9,2021
2021-09-02,CHK,0.0,230.0,Gift,9,2021
2021-09-02,CHK,0.0,521.88,Rent,9,2021
2021-09-02,CHK,1083.49,0.0,Rent,9,2021
2021-09-02,CC - BofA,49.95,0.0,Insurance,9,2021
2021-09-02,CC - BofA,16.08,0.0,Hobby,9,2021
2021-09-02,CC - BofA,9.08,0.0,Entertainment,9,2021
2021-09-03,CC - BofA,17.21,0.0,Entertainment,9,2021
2021-09-03,CC - BofA,20.22,0.0,Gift,9,2021
2021-09-04,CC - BofA,73.51,0.0,Food,9,2021
2021-09-04,CC - BofA,145.83,0.0,Shopping,9,2021
2021-09-06,CC - BofA,21.0,0.0,Entertainment,9,2021
2021-09-06,CC - BofA,13.67,0.0,Food,9,2021
2021-09-06,CC - BofA,23.51,0.0,Pet,9,2021
2021-09-06,CC - BofA,9.42,0.0,Entertainment,9,2021
2021-09-06,CC - BofA,18.94,0.0,Entertainment,9,2021
2021-09-07,CHK,0.0,580.0,Rent,9,2021
2021-09-07,CHK,580.0,0.0,Rent,9,2021
2021-09-07,CHK,110.0,0.0,Shopping,9,2021
2021-09-07,CHK,500.0,0.0,Savings,9,2021
2021-09-07,CC - BofA,64.69,0.0,Gas & Fuel,9,2021
2021-09-07,CC - BofA,12.94,0.0,Transportation,9,2021
2021-09-08,CC - BofA,126.28,0.0,Pet,9,2021
2021-09-08,CC - BofA,23.91,0.0,Entertainment,9,2021
2021-09-09,CHK,135.3,0.0,Utility,9,2021
2021-09-09,CC - BofA,10.69,0.0,Hobby,9,2021
2021-09-09,CC - BofA,17.68,0.0,Entertainment,9,2021
2021-09-13,CC - BofA,10.69,0.0,Hobby,9,2021
2021-09-13,CC - BofA,20.44,0.0,Entertainment,9,2021
2021-09-15,CC - BofA,27.95,0.0,Entertainment,9,2021
2021-09-16,CC - BofA,54.38,0.0,Gas & Fuel,9,2021
2021-09-18,CC - BofA,14.38,0.0,Entertainment,9,2021
2021-09-18,CC - BofA,12.78,0.0,Entertainment,9,2021
2021-09-20,CC - BofA,27.22,0.0,Entertainment,9,2021
2021-09-21,CHK,21.0,0.0,Entertainment,9,2021
2021-09-21,CHK,0.0,102.8,Entertainment,9,2021
2021-09-21,CC - BofA,23.12,0.0,Shopping,9,2021
2021-09-21,CC - BofA,0.0,1.15,Rewards,9,2021
2021-09-21,CC - BofA,205.6,0.0,Entertainment,9,2021
2021-09-21,CC - BofA,31.33,0.0,Entertainment,9,2021
2021-09-21,CC - BofA,12.0,0.0,Food,9,2021
2021-09-23,CC - BofA,40.73,0.0,Food,9,2021
2021-09-24,CHK,115.0,0.0,Utility,9,2021
2021-09-24,CC - BofA,58.65,0.0,Pet,9,2021
2021-09-25,CC - BofA,11.77,0.0,Entertainment,9,2021
2021-09-25,CC - BofA,56.96,0.0,Gas & Fuel,9,2021
2021-09-25,CC - AMEX,3.22,0.0,Transportation,9,2021
2021-09-25,CC - AMEX,4.53,0.0,Transportation,9,2021
2021-09-25,CC - AMEX,6.78,0.0,Transportation,9,2021
2021-09-27,CHK,125.0,0.0,Entertainment,9,2021
2021-09-27,CHK,0.0,1000.0,Gift,9,2021
2021-09-27,CHK,135.95,0.0,Utility,9,2021
2021-09-27,CC - BofA,8.11,0.0,Entertainment,9,2021
2021-09-27,CC - BofA,90.37,0.0,Entertainment,9,2021
2021-09-27,CC - BofA,10.69,0.0,Hobby,9,2021
2021-09-29,CHK,20.0,0.0,Gift,9,2021
2021-09-29,CC - BofA,30.74,0.0,Entertainment,9,2021
2021-09-29,CC - BofA,187.03,0.0,Self Care,9,2021
2021-09-29,CC - BofA,150.0,0.0,Moving,9,2021
2021-09-30,CC - BofA,15.88,0.0,Entertainment,9,2021
2021-09-30,CC - BofA,1.1,0.0,Moving,9,2021
2021-10-01,CHK,0.0,580.0,Rent,10,2021
2021-10-01,CC - BofA,208.44,0.0,Gift,10,2021
2021-10-01,CC - BofA,12.92,0.0,Entertainment,10,2021
2021-10-01,CC - BofA,7.04,0.0,Entertainment,10,2021
2021-10-02,CC - BofA,49.95,0.0,Insurance,10,2021
2021-10-02,CC - BofA,16.08,0.0,Hobby,10,2021
2021-10-02,CC - BofA,5.0,0.0,Self Care,10,2021
2021-10-02,CC - BofA,241.85,0.0,Self Care,10,2021
2021-10-04,CHK,20.0,0.0,Gift,10,2021
